year_added,country,total_count
2008.0,United States,2
2009.0,Denmark,1
2009.0,United States,1
2010.0,United States,1
2011.0, France,1
2011.0, Mexico,1
2011.0,Spain,1
2011.0,United States,12
2012.0, Mexico,1
2012.0,United States,7
2013.0, Ireland,1
2013.0, United Kingdom,1
2013.0,Canada,1
2013.0,United States,11
2014.0,,1
2014.0, Bermuda,1
2014.0, Canada,2
2014.0, Ecuador,1
2014.0, Egypt,1
2014.0, Hungary,1
2014.0, Ireland,1
2014.0, United States,4
2014.0,Canada,2
2014.0,Norway,1
2014.0,United Kingdom,3
2014.0,United States,19
2015.0, Australia,2
2015.0, Belgium,2
2015.0, Canada,1
2015.0, France,4
2015.0, Germany,1
2015.0, Greece,1
2015.0, Ireland,2
2015.0, Italy,3
2015.0, New Zealand,1
2015.0, Ukraine,1
2015.0, United Kingdom,4
2015.0, United States,4
2015.0,Australia,3
2015.0,Belgium,1
2015.0,Canada,6
2015.0,France,5
2015.0,Germany,2
2015.0,Italy,1
2015.0,Japan,1
2015.0,Mexico,1
2015.0,New Zealand,1
2015.0,Nigeria,1
2015.0,Norway,1
2015.0,United Kingdom,6
2015.0,United States,61
2016.0, Australia,2
2016.0, Azerbaijan,1
2016.0, Belgium,3
2016.0, Canada,11
2016.0, Chile,1
2016.0, China,3
2016.0, Cuba,1
2016.0, Denmark,1
2016.0, Finland,1
2016.0, France,14
2016.0, Germany,9
2016.0, Greece,5
2016.0, Hong Kong,1
2016.0, Hungary,1
2016.0, India,2
2016.0, Indonesia,1
2016.0, Israel,1
2016.0, Japan,13
2016.0, Jordan,1
2016.0, Kazakhstan,1
2016.0, Montenegro,1
2016.0, Netherlands,4
2016.0, New Zealand,3
2016.0, Norway,2
2016.0, Peru,1
2016.0, Qatar,1
2016.0, Russia,1
2016.0, Serbia,1
2016.0, Slovenia,1
2016.0, South Africa,2
2016.0, South Korea,2
2016.0, Spain,5
2016.0, United Kingdom,9
2016.0, United States,22
2016.0, Zimbabwe,1
2016.0,Argentina,3
2016.0,Australia,8
2016.0,Austria,1
2016.0,Belgium,1
2016.0,Brazil,3
2016.0,Canada,24
2016.0,Chile,1
2016.0,China,6
2016.0,Colombia,2
2016.0,Croatia,1
2016.0,Denmark,6
2016.0,France,17
2016.0,Germany,5
2016.0,Hong Kong,3
2016.0,Iceland,1
2016.0,India,13
2016.0,Ireland,3
2016.0,Israel,2
2016.0,Italy,3
2016.0,Japan,20
2016.0,Mexico,9
2016.0,Netherlands,4
2016.0,Nigeria,1
2016.0,Norway,3
2016.0,Pakistan,4
2016.0,Peru,2
2016.0,Poland,1
2016.0,Russia,1
2016.0,South Korea,8
2016.0,Spain,13
2016.0,Sweden,1
2016.0,Switzerland,1
2016.0,Taiwan,29
2016.0,Turkey,4
2016.0,United Arab Emirates,1
2016.0,United Kingdom,45
2016.0,United States,206
2017.0, Afghanistan,1
2017.0, Argentina,6
2017.0, Armenia,1
2017.0, Australia,6
2017.0, Austria,1
2017.0, Belgium,18
2017.0, Botswana,1
2017.0, Brazil,2
2017.0, Bulgaria,1
2017.0, Canada,19
2017.0, Chile,1
2017.0, China,6
2017.0, Colombia,2
2017.0, Croatia,1
2017.0, Czech Republic,2
2017.0, Denmark,3
2017.0, France,24
2017.0, Germany,16
2017.0, Greece,1
2017.0, Hong Kong,6
2017.0, Iceland,1
2017.0, India,10
2017.0, Iran,1
2017.0, Ireland,3
2017.0, Israel,2
2017.0, Italy,6
2017.0, Japan,7
2017.0, Jordan,3
2017.0, Latvia,1
2017.0, Lebanon,1
2017.0, Malaysia,1
2017.0, Mexico,6
2017.0, Mongolia,1
2017.0, Morocco,1
2017.0, Nepal,1
2017.0, Netherlands,4
2017.0, New Zealand,2
2017.0, Nicaragua,1
2017.0, Norway,1
2017.0, Panama,1
2017.0, Peru,1
2017.0, Philippines,1
2017.0, Poland,1
2017.0, Qatar,4
2017.0, Romania,1
2017.0, Russia,2
2017.0, Samoa,1
2017.0, Senegal,1
2017.0, Singapore,2
2017.0, Slovakia,1
2017.0, South Africa,4
2017.0, South Korea,2
2017.0, Soviet Union,2
2017.0, Spain,11
2017.0, Sri Lanka,1
2017.0, Sweden,7
2017.0, Switzerland,4
2017.0, Thailand,1
